Number,StateNum,Name,Area,Type,PFG Type,Period,Initial Period,Terminal Period,Northing,Easting,Zone,Num_Mounds,Max Mound Height (ft),Max Mound Area (sq ft),St Francis,Ditch,Platform
23-M-1,,Kings Crossing,Yazoo,,,D-C,D,C,3588521.965,702784.988,15.0,4,25.0,0.0,0,0.0,1
23-M-2,,Blakely,Yazoo,,,D-C,D,C,3588521.965,702784.988,15.0,1,6.561679790026247,12916.692500051668,0,0.0,1
10-P-1,,Carson Lake,Memphis,St. Francis,St. Francis,C-B,C,B,3943300.0,767520.0,15.0,0,0.0,0.0,0,0.0,0
10-P-2,,Bell Place,Memphis,St. Francis,St. Francis,B-A,B,A,3935704.0,761620.0,15.0,0,0.0,0.0,0,0.0,0
10-P-3,,Nettle Ridge,Memphis,Large Village Site,Large Village Site,E-A,E,A,3933300.0,759953.0,15.0,0,0.0,0.0,0,0.0,0
10-P-4,,Notgrass Place,Memphis,Large Village Site,Large Village Site,C-B,C,B,3936520.0,763764.0,15.0,0,0.0,0.0,0,0.0,0
10-Q-1,,Upper Nodena,Memphis,Large Village Site with Mound(s),Irregular,B-A,B,A,3943700.0,773800.0,15.0,1+,5.0,0.0,0,0.0,0
10-Q-2,,Sherman Mound,Memphis,Large Village Site with Mound(s),Irregular,?,?,?,3948420.0,773649.0,15.0,1,0.0,0.0,0,0.0,1
10-Q-3,,Turnage ,Memphis,Small Village Site with Mound(s),Irregular,E-A,E,A,3940020.0,773403.0,15.0,1,0.0,0.0,0,0.0,0
11-N-1,3CS29,Parkin,St. Francis,St. Francis,St. Francis,B-A,B,A,3906400.0,722250.0,15.0,4,23.0,0.0,1,0.0,1
11-N-10,,Cross Country Club,St. Francis,Small Village Site with Mound(s),Conical Mound,D-C,D,C,3904500.0,710900.0,15.0,1,4.0,2827.4333882308138,0,0.0,0
11-N-11,,Delta,St. Francis,Conical Mound(s),Conical Mound,D-C,D,C,3910400.0,719500.0,15.0,6,10.0,7853.981633974483,0,0.0,0
11-N-12,,Turnbow Place,St. Francis,St. Francis,St. Francis,C-B,C,B,3924520.0,724518.0,15.0,14,10.0,0.0,0,0.0,1
11-N-13,3CS26,Williamson,St. Francis,St. Francis,St. Francis,C-B,C,B,3909500.0,719950.0,15.0,9,8.0,0.0,1,0.0,1
11-N-14,3CS78,Twist Plantation No. 1,St. Francis,Small Village Site with Mound(s),,?,?,?,3918540.0,723256.0,15.0,0,0.0,0.0,0,0.0,0
11-N-15,3CS71,Fortune Mound,St. Francis,St. Francis,St. Francis,B-A,B,A,3921670.0,722850.0,15.0,1,0.0,0.0,1,0.0,0
11-N-16,,Twist Group,St. Francis,Conical Mound(s),Conical Mound,C-B,C,B,3920400.0,724150.0,15.0,40+,10.0,2827.4333882308138,0,0.0,0
11-N-2,,Rogers Place,St. Francis,Conical Mound(s),Conical Mound,D-C,D,C,3907350.0,724440.0,15.0,5,5.0,5026.548245743669,0,0.0,0
11-N-3,,Roberts,St. Francis,Conical Mound(s),Conical Mound,D-C,D,C,3908400.0,725230.0,15.0,4,3.0,2827.4333882308138,0,0.0,0
11-N-4,3CS24,Neeley's Ferry,St. Francis,St. Francis,St. Francis,B-A,B,A,3913500.0,723480.0,15.0,3,12.0,0.0,1,0.0,1
11-N-6,,Block,St. Francis,Small Ceremonial Center,Small Ceremonial Center,D-C,D,C,3906950.0,720220.0,15.0,5,15.0,0.0,1,0.0,1
11-N-8,,Williams,St. Francis,Small Village Site with Mound(s),Conical Mound,D-C,D,C,3911040.0,719500.0,15.0,8,9.0,6361.725123519331,0,0.0,0
11-N-9,3CS25,Vernon Paul,St. Francis,St. Francis,St. Francis,B-A,B,A,3913000.0,725000.0,15.0,5,9.0,0.0,1,0.0,1
11-O-1,,Pittman,St. Francis,Conical Mound(s),Conical Mound,?,?,?,3927280.0,729657.0,15.0,1+,0.0,0.0,0,0.0,0
11-O-10,3CT18,Barton Ranch,St. Francis,St. Francis,St. Francis,C-B,C,B,3918000.0,737150.0,15.0,1+,0.0,0.0,1,0.0,1
11-O-11,,Prosperity,St. Francis,Small Village Site with Mound(s),Conical Mound,D-C,D,C,3914900.0,736700.0,15.0,1+,2.0,1963.4954084936207,0,0.0,0
11-O-2,,Webster Cemetery,St. Francis,Conical Mound(s),Conical Mound,?,?,?,3900827.0,734435.0,15.0,1,0.0,0.0,0,0.0,0
11-O-3,,Emrich Place,St. Francis,Conical Mound(s),Conical Mound,?,?,?,3900911.0,744054.0,15.0,2,0.0,0.0,0,0.0,0
11-O-4,3PO5,Cummings,St. Francis,St. Francis,St. Francis,B-A,B,A,3944100.0,714360.0,15.0,3,5.0,0.0,0,0.0,0
11-O-5,,Emory,St. Francis,Conical Mound(s),Conical Mound,D-C,D,C,3924190.0,734640.0,15.0,1,4.0,2827.4333882308138,0,0.0,0
11-O-6,,Pinkston,St. Francis,Small Village Site with Mound(s),Conical Mound,D-C,D,C,3924830.0,734650.0,15.0,1,5.0,2827.4333882308138,0,0.0,0
