Number,Mound,Ditch,St Francis,Platform,Num_Mounds,Max Mound Area (sq ft),Max Mound Height (ft),PFG Type,Easting,Northing,Name
10-P-3,0.0,0.0,0,0.0,0,0.0,0.0,Large Village Site,759953.0,3933300.0,Nettle Ridge
10-P-4,0.0,0.0,0,0.0,0,0.0,0.0,Large Village Site,763764.0,3936520.0,Notgrass Place
10-Q-1,1.0,0.0,0,0.0,1+,0.0,5.0,Irregular,773800.0,3943700.0,Upper Nodena
10-Q-2,1.0,0.0,0,1.0,1,0.0,0.0,Irregular,773649.0,3948420.0,Sherman Mound
10-Q-3,1.0,0.0,0,0.0,1,0.0,0.0,Irregular,773403.0,3940020.0,Turnage 
11-N-1,1.0,0.0,1,1.0,4,0.0,23.0,St. Francis,722250.0,3906400.0,Parkin
11-N-10,1.0,0.0,0,0.0,1,2827.4333882308138,4.0,Conical Mound,710900.0,3904500.0,Cross Country Club
11-N-11,1.0,0.0,0,0.0,6,7853.981633974483,10.0,Conical Mound,719500.0,3910400.0,Delta
11-N-12,1.0,0.0,0,1.0,14,0.0,10.0,St. Francis,724518.0,3924520.0,Turnbow Place
11-N-13,1.0,0.0,1,1.0,9,0.0,8.0,St. Francis,719950.0,3909500.0,Williamson
11-N-14,1.0,0.0,0,0.0,0,0.0,0.0,,723256.0,3918540.0,Twist Plantation No. 1
11-N-15,0.0,0.0,1,0.0,1,0.0,0.0,St. Francis,722850.0,3921670.0,Fortune Mound
11-N-16,1.0,0.0,0,0.0,40+,2827.4333882308138,10.0,Conical Mound,724150.0,3920400.0,Twist Group
11-N-2,1.0,0.0,0,0.0,5,5026.548245743669,5.0,Conical Mound,724440.0,3907350.0,Rogers Place
11-N-3,1.0,0.0,0,0.0,4,2827.4333882308138,3.0,Conical Mound,725230.0,3908400.0,Roberts
11-N-4,1.0,0.0,1,1.0,3,0.0,12.0,St. Francis,723480.0,3913500.0,Neeley's Ferry
11-N-6,1.0,0.0,1,1.0,5,0.0,15.0,Small Ceremonial Center,720220.0,3906950.0,Block
11-N-8,1.0,0.0,0,0.0,8,6361.725123519331,9.0,Conical Mound,719500.0,3911040.0,Williams
11-N-9,1.0,0.0,1,1.0,5,0.0,9.0,St. Francis,725000.0,3913000.0,Vernon Paul
11-O-1,1.0,0.0,0,0.0,1+,0.0,0.0,Conical Mound,729657.0,3927280.0,Pittman
11-O-10,1.0,0.0,1,1.0,1+,0.0,0.0,St. Francis,737150.0,3918000.0,Barton Ranch
11-O-11,1.0,0.0,0,0.0,1+,1963.4954084936207,2.0,Conical Mound,736700.0,3914900.0,Prosperity
11-O-2,1.0,0.0,0,0.0,1,0.0,0.0,Conical Mound,734435.0,3900827.0,Webster Cemetery
11-O-3,1.0,0.0,0,0.0,2,0.0,0.0,Conical Mound,744054.0,3900911.0,Emrich Place
11-O-4,1.0,0.0,0,0.0,3,0.0,5.0,St. Francis,714360.0,3944100.0,Cummings
11-O-5,1.0,0.0,0,0.0,1,2827.4333882308138,4.0,Conical Mound,734640.0,3924190.0,Emory
11-O-6,1.0,0.0,0,0.0,1,2827.4333882308138,5.0,Conical Mound,734650.0,3924830.0,Pinkston
11-O-7,1.0,0.0,0,0.0,2,0.0,7.0,Small Ceremonial Center,730800.0,3911480.0,Lewis Place
