Site Name,Site Number,Neeley's Ferry Plain,Parkin Punctated,Barton Incised,Ranch Incised,Vernon Paul Applique,Fortune Noded,Manly Punctated,Tyronza Punctated,Bell Plain,Kent Incised,Rhodes Incised,Walls Engraved,Hull Engraved,Mound Place Incised (T),Old Town Red,Carson Red-on-Buff,Nodena Red and White,Avenue Polychrome,Hollywood White Slipped,Wallace Incised,Stokes Bayou Incised,Oliver Incised,Owens Punctated (T),Leland Incised,Blanchard Incised (T),Arcola Incised (T),Sherd Total
Moore,14-N-1,199,17,13,0,0,0,0,0,19,5,0,0,0,0,35,0,0,8,0,0,0,0,0,0,0,0,296
Steagall,14-N-2,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Helena Crossing,14-N-6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10
Evansville,14-O-1,43,1,3,0,0,0,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,66
West,14-O-10,144,4,37,0,0,0,0,0,57,0,0,2,2,0,9,0,0,3,0,0,0,0,0,0,0,0,258
Kendall Mound,14-O-11,16,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Canon,14-O-13,25,1,11,0,0,0,0,0,26,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,69
Owens,14-O-2,369,18,63,1,0,0,0,0,144,3,1,2,0,0,39,0,0,14,0,0,0,0,3,0,0,0,657
Beaverdam,14-O-3,47,2,8,0,0,0,0,0,21,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,83
Perry,14-O-4,149,11,24,0,0,1,0,0,122,2,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,321
Dundee,14-O-8,377,6,48,0,0,0,0,0,183,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,621
Wilford,15-0-10,71,3,23,0,0,2,0,0,19,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,122
D'orr,15-0-12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
Allison,15-0-13,34,1,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
Whiting,15-0-15,58,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
Tidwell,15-0-16,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Moon,15-0-5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Posey,15-0-6,12,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17
Prowell,15-0-7,12,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15
Butler,15-L-1,155,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
Baytown,15-L-2,58,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
Tinsley,15-M-1,398,32,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,437
Fitzhugh,15-N-1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,20
Dickerson,15-N-10,19,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Ellis,15-N-2,108,6,6,0,0,0,0,0,14,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,139
Old Town,15-N-3,437,36,14,0,0,0,0,1,3,0,0,0,0,0,12,2,1,0,0,0,0,0,0,0,0,0,506
Buie,15-N-4,168,10,6,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,191
Parchman ,15-N-5,572,5,65,0,0,1,0,0,312,0,0,0,2,0,13,6,10,3,6,0,0,0,2,1,0,0,998
Montgomery,15-N-6,480,26,63,10,0,0,0,4,312,3,0,0,8,0,24,3,6,0,2,0,0,0,2,2,0,0,945
Stovall Mounds,15-N-7,25,1,3,1,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43
Salomon,15-O-1,888,7,47,2,0,0,0,1,192,0,0,0,8,0,6,0,6,0,5,0,0,0,0,2,0,0,1164
Indian Creek,15-P-3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Corn Lake,15-P-4,11,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19
Jones,16-K-1,116,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,126
Bitely Place,16-L-1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17
Bitely,16-L-1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17
Stovall Mounds,16-L-3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
