seed,nc_co,nc_tt,fst_co,fst_tt
224,4.0,2.0,0.024711990955290936,0.004840782444484085
225,3.0,2.0,0.023557969449999928,0.006437270804454413
226,4.0,2.0,0.01807383102427515,0.004665726585692628
227,3.0,3.0,0.020379432994575723,0.011025130136560967
228,3.0,3.0,0.018071818069168417,0.011047186505723594
229,3.0,2.0,0.026199325747270796,0.0076627171464289726
230,3.0,2.0,0.019084716733460946,0.005140766343807412
231,3.0,2.0,0.023054112890244553,0.005388527510546845
232,3.0,3.0,0.019604146449486125,0.009590667301455956
233,3.0,3.0,0.023033042506759853,0.00817758020606028
234,3.0,3.0,0.024922173142600975,0.010322225571443883
235,3.0,2.0,0.027022938326640107,0.0037144625342182573
236,3.0,2.0,0.020884615036377393,0.0060651953374574845
237,3.0,2.0,0.01793072076015133,0.008509973864503065
238,4.0,2.0,0.028896344850266993,0.006869522484331887
239,3.0,2.0,0.02090038238008117,0.004573270163700297
240,4.0,2.0,0.027836897646639297,0.005427474877004427
241,4.0,2.0,0.01983885640077915,0.006126789938653321
242,4.0,2.0,0.02203725343631377,0.0057831928999683285
243,4.0,2.0,0.03948873951657118,0.00628039688020602
244,3.0,3.0,0.019921766700751513,0.014018952008194616
245,4.0,2.0,0.023481565886707953,0.006371124765466987
246,4.0,3.0,0.029249568034703636,0.010037662851590131
247,4.0,2.0,0.017743675863509386,0.005272870006441282
248,3.0,2.0,0.021702451638527475,0.007736842964128162
249,3.0,2.0,0.015640719186457836,0.005895267831275166
250,4.0,2.0,0.01688600035059335,0.008058212036688989
251,3.0,2.0,0.020781097035184617,0.00611932872703867
252,3.0,2.0,0.014128190525838906,0.00483162492292156
253,3.0,2.0,0.0310610454550897,0.005413976920485932
254,3.0,2.0,0.02049816237634959,0.0036788858284025365
255,3.0,2.0,0.012502185456599127,0.004954870030705765
256,4.0,2.0,0.037650662077387285,0.007544368680712184
257,3.0,2.0,0.023609944790078864,0.005285110249117099
258,3.0,3.0,0.02107641434030622,0.011310620373977988
259,2.0,2.0,0.013447993067689552,0.006249947825575706
260,3.0,2.0,0.01949994358477148,0.006800023590838922
261,4.0,2.0,0.030204039987731506,0.0037700559854964358
262,3.0,3.0,0.012501161145593104,0.007161268434531301
263,3.0,2.0,0.018194849593254108,0.00532353199969553
264,3.0,2.0,0.018149121000434944,0.0061660243599214225
265,3.0,2.0,0.02627865051205446,0.006305104740168561
266,3.0,2.0,0.01995253496387398,0.006630412971142481
267,3.0,2.0,0.02281295917527544,0.005546366967191477
268,3.0,2.0,0.01933642131140828,0.0043282154885986674
269,4.0,2.0,0.0404869622340252,0.007971983876182793
270,3.0,2.0,0.017844927061404437,0.005732787121862684
271,3.0,2.0,0.023681268107754755,0.006867260841875714
272,3.0,2.0,0.018748601726652568,0.005693909318671704
273,3.0,2.0,0.01779092102810496,0.006442577328806527
274,4.0,2.0,0.03137034015857144,0.0056708345832345505
275,3.0,2.0,0.03308295161104586,0.006899057763955757
276,3.0,2.0,0.013291301768176661,0.006264887494752024
277,3.0,2.0,0.03713481734894738,0.007994587613786082
278,3.0,3.0,0.012538829886261602,0.008818334110085185
279,3.0,2.0,0.029043721488710077,0.00746133377953833
280,3.0,2.0,0.023100687181773983,0.0077635591585346895
281,4.0,3.0,0.03029310665880887,0.008937781629186525
