seed,nc,fst_tt,fst_co,rho
259,3.0,0.021413810124415535,0.03897759033688513,0.5840175150519978
260,2.0,0.013545943946262585,0.013501914202777562,0.25068418171866447
261,2.0,0.012967687908588234,0.027528567886813925,0.7120963327859879
262,2.0,0.016726333242323733,0.021720763625709197,0.5402298850574713
263,2.0,0.014413196559228979,0.03705398314708127,0.6666666666666666
264,3.0,0.022005932251431853,0.026523889154385943,0.36453201970443344
265,2.0,0.013309554237518584,0.023108585528661213,0.5145046524356869
266,2.0,0.01749011354337198,0.026822848285999318,0.6978653530377669
267,3.0,0.01196740990319041,0.02845374717715923,0.37219485495347565
268,2.0,0.012442244723984426,0.02550066707509887,0.38314176245210724
269,2.0,0.011358832127496981,0.017343895746509876,0.5238095238095238
270,2.0,0.010039878053083396,0.026988960397271083,0.3771209633278598
271,3.0,0.018875897920999966,0.04121683092323186,0.6288998357963875
272,2.0,0.01894234573547925,0.03566013005056053,0.3513957307060755
273,3.0,0.01560320436440198,0.010055394625413402,0.6431308155446086
274,2.0,0.015402344288704094,0.034678463560016845,0.48713738368910786
275,3.0,0.01429062819374341,0.014214240440840313,0.18117131910235357
276,2.0,0.01455442418553333,0.029985960063527876,0.7077175697865353
277,2.0,0.010962470971036743,0.034269932432736766,0.4482758620689655
278,2.0,0.014028552054472041,0.025762040478394577,0.3054187192118227
279,3.0,0.02080580430878208,0.014484867679380838,0.43568691844553914
280,2.0,0.012234700739645327,0.033456242217139553,0.43568691844553914
281,2.0,0.011351296058924718,0.030255170313482523,0.6146688560481663
282,3.0,0.015604606332635391,0.02119762837177347,0.6480569239189928
283,2.0,0.010809951058916648,0.014062834574714512,0.5336617405582923
284,2.0,0.011834959201341958,0.029745477832885347,0.7285166940339354
285,2.0,0.015676431194394456,0.02030825979807401,0.5747126436781609
286,2.0,0.01012765811160725,0.016910538027869074,0.25670498084291193
287,2.0,0.009053363200838653,0.03592069188557247,0.5741652983032293
288,2.0,0.01381462611543007,0.029301178346221698,0.6551724137931034
289,2.0,0.015356420168796878,0.030548391824599213,0.5347564313081554
290,2.0,0.007454840979950066,0.025329833665201158,0.13738368910782706
