len_km,mix,mu,seed,ncom,fst,rho
18.0000,0.0100,0.0120,9,2,0.016411,0.738369
18.0000,0.0100,0.0120,10,3,0.030531,0.487685
18.0000,0.0100,0.0120,11,2,0.012473,0.518336
18.0000,0.0100,0.0240,0,2,0.004708,0.318555
18.0000,0.0100,0.0240,1,2,0.009254,0.106185
18.0000,0.0100,0.0240,2,2,0.010047,0.382594
18.0000,0.0100,0.0240,3,3,0.014004,0.706623
18.0000,0.0100,0.0240,4,2,0.006365,0.515052
18.0000,0.0100,0.0240,5,2,0.010019,0.288451
18.0000,0.0100,0.0240,6,2,0.005661,0.374932
18.0000,0.0100,0.0240,7,2,0.006767,0.257800
18.0000,0.0100,0.0240,8,2,0.008551,0.467980
18.0000,0.0100,0.0240,9,2,0.009079,0.286809
18.0000,0.0100,0.0240,10,2,0.007764,0.448823
18.0000,0.0100,0.0240,11,2,0.010845,0.325123
18.0000,0.0200,0.0060,0,2,0.019879,0.922824
18.0000,0.0200,0.0060,1,2,0.018612,0.602627
18.0000,0.0200,0.0060,2,2,0.020977,0.622332
18.0000,0.0200,0.0060,3,2,0.025664,0.904762
18.0000,0.0200,0.0060,4,3,0.027787,0.274220
18.0000,0.0200,0.0060,5,2,0.026736,0.801314
18.0000,0.0200,0.0060,6,2,0.026372,0.730706
18.0000,0.0200,0.0060,7,3,0.035045,0.312534
18.0000,0.0200,0.0060,8,2,0.025567,0.543514
18.0000,0.0200,0.0060,9,3,0.043011,0.756431
18.0000,0.0200,0.0060,10,2,0.015673,0.324028
18.0000,0.0200,0.0060,11,3,0.046939,0.953476
18.0000,0.0200,0.0120,0,3,0.022675,0.591680
18.0000,0.0200,0.0120,1,2,0.013521,0.284620
18.0000,0.0200,0.0120,2,2,0.011295,0.470170
18.0000,0.0200,0.0120,3,2,0.015367,0.394636
18.0000,0.0200,0.0120,4,2,0.012388,0.622879
18.0000,0.0200,0.0120,5,2,0.015257,0.743295
18.0000,0.0200,0.0120,6,3,0.016043,0.779420
18.0000,0.0200,0.0120,7,3,0.016445,0.739464
18.0000,0.0200,0.0120,8,3,0.012279,0.764094
18.0000,0.0200,0.0120,9,3,0.021213,0.813355
18.0000,0.0200,0.0120,10,2,0.013265,0.470170
18.0000,0.0200,0.0120,11,2,0.016990,0.600438
18.0000,0.0200,0.0240,0,2,0.005961,0.459223
18.0000,0.0200,0.0240,1,2,0.010945,0.391899
18.0000,0.0200,0.0240,2,2,0.006154,0.357417
18.0000,0.0200,0.0240,3,2,0.007133,0.565955
18.0000,0.0200,0.0240,4,2,0.005089,0.487685
18.0000,0.0200,0.0240,5,2,0.010647,0.386973
18.0000,0.0200,0.0240,6,2,0.009817,0.599343
18.0000,0.0200,0.0240,7,2,0.004501,0.082649
18.0000,0.0200,0.0240,8,2,0.010111,0.386973
18.0000,0.0200,0.0240,9,2,0.008714,0.405583
18.0000,0.0200,0.0240,10,2,0.007271,0.421456
18.0000,0.0200,0.0240,11,2,0.011231,0.234811
