leak,strength,rep,phase_fst,spatial_fst,be_phase,hs,rich,ht
1.0,0.0,172,0.004917564764467751,0.0018246241469413453,-3.085083030306933,0.5875357286332242,6.178571428571429,0.611536080031221
1.0,0.0,173,0.001622942574861212,0.00046343580973580184,3.4513138879138197,0.5609150603378065,5.321428571428571,0.5744381181561786
1.0,0.0,174,0.004708159565996931,0.0006562720010375318,2.376137423698367,0.5771740335993133,5.857142857142857,0.5788094713248788
1.0,0.0,175,0.005593914987389746,0.004403376618165273,-2.4929037876674727,0.5503814370759236,5.642857142857143,0.5568757182630113
1.0,0.0,176,0.003101604029378059,0.0005209105762538416,3.8470852159257873,0.5716463611139824,5.285714285714286,0.5824117972179803
1.0,0.0,177,0.006347132019128651,0.0013867322109755442,5.780350702842689,0.5943074692918877,6.5,0.6079652068467467
1.0,0.0,178,0.0019506396967110676,0.0006020029256143369,4.721203121549777,0.5611639178172545,5.5,0.5880536607751747
1.0,0.0,179,0.011205463980858884,0.008120371811076672,4.448826867335249,0.5649270175376592,6.035714285714286,0.6131478930449588
1.0,0.0,180,0.008801687867318553,0.0033391068855339176,7.438538923612164,0.5256674165324069,5.035714285714286,0.5217535537851703
1.0,0.0,181,0.005876156294196952,0.0057005821179138645,2.9715689466836253,0.5531983309754865,5.642857142857143,0.5583746656408344
1.0,0.0,182,0.001609146040851444,0.00026889304770690866,2.4056110385446914,0.5794408718411319,5.642857142857143,0.5892585902042033
1.0,0.0,183,0.015782421221200882,0.010105124970266612,4.3698539747292315,0.5662113080382682,5.392857142857143,0.5858208403323868
1.0,0.0,184,0.005841910206165079,0.0037206554279373585,4.999408057779654,0.535435214150082,6.214285714285714,0.5474582623084586
1.0,0.0,185,0.010122863304593567,0.002019370541383111,1.3564869246968172,0.5567468997624857,6.071428571428571,0.5682996397659019
1.0,0.0,186,0.008417410417643779,0.0008457561223219113,9.10033855270212,0.5746732719360936,5.928571428571429,0.5782112160630543
1.0,0.0,187,0.0035308493458400397,0.0006206735159998695,-5.3954567561672775,0.5729743841102487,5.607142857142857,0.579906926436133
1.0,0.0,188,0.0030915317416141436,0.0009194583335869449,-2.6971519983836956,0.5725376371965768,5.464285714285714,0.5743951284290688
1.0,0.0,189,0.005317543331206591,0.0016876826491432993,-5.4764699655955695,0.5801816386414229,5.75,0.5894471354626669
1.0,0.0,190,0.021029093630328934,0.019981362457494434,9.250605352908622,0.555942700514797,5.678571428571429,0.5865579421531781
1.0,0.0,191,0.003938666881171501,0.0017145247779814772,-3.026917343352906,0.5776670885386687,5.535714285714286,0.5787861961193261
1.0,0.0,192,0.00385875318704758,0.003217715340883108,-0.270056755736924,0.5911925784706433,5.928571428571429,0.6192482600463681
1.0,0.0,193,0.003520262866872744,0.0027168961991283656,1.9654664581712993,0.5957289723123852,6.0,0.6236341275286432
1.0,0.0,194,0.001735595908915895,0.001425762629880725,1.121445979374947,0.6035565113890236,6.035714285714286,0.6255149230604837
1.0,0.0,195,0.01435373243217914,0.004757399957908208,4.567072533466259,0.5747729737561669,5.678571428571429,0.5827722510927366
1.0,0.0,196,0.006013067627454155,0.0057358054605227285,-4.0536975425682655,0.5845001250964625,6.142857142857143,0.6024064661498321
1.0,0.0,197,0.006827032707768516,0.00027276090687467923,1.774820510580433,0.5510461833113798,5.892857142857143,0.5566545937518315
1.0,0.0,198,0.0012803367768070822,0.0005816030640753092,6.447271531556041,0.5601540338529739,5.785714285714286,0.5847519511605318
1.0,0.0,199,0.006482423617260374,0.004077213152315712,-6.255759629365592,0.5621183485570315,5.75,0.5778306755048543
1.0,0.0,200,0.001848858463825927,0.0012645923071021292,3.4002056992274348,0.5842681569641653,5.785714285714286,0.5889242580705104
1.0,0.0,201,0.013209014199495963,0.004190347057364703,-0.46932998485463173,0.549980462641919,5.321428571428571,0.570187405789293
1.0,0.0,202,0.001520028553491158,0.0011988252573784555,-3.673885248302888,0.5929651174271029,6.464285714285714,0.6038976484201847
1.0,0.0,203,0.001760824989048675,0.0008883164993560575,-5.682545282756706,0.5747519968868052,5.678571428571429,0.5815943788387021
1.0,0.0,204,0.005917194043101513,0.005183342396728133,1.6127727963460288,0.5914519459890641,6.321428571428571,0.6078482776053682
1.0,0.0,205,0.017163287078127493,0.016260065880372387,5.833131575081431,0.570151456154711,5.642857142857143,0.5808036555309611
1.0,0.0,206,0.006132477206721139,0.0009875778762873744,1.7470398029000833,0.6048900119800233,6.535714285714286,0.6119773835612201
1.0,0.0,207,0.00610022232213977,0.005135650364156559,3.9795612623746592,0.5868807622920914,6.25,0.5876934784780113
1.0,0.0,208,0.004865013470589284,0.003520933213171958,5.344902184990325,0.5442039518293498,5.714285714285714,0.5432966676257547
1.0,0.0,209,0.006512856182822834,0.002759262215214552,-1.431882927254449,0.5510250200756314,5.535714285714286,0.5714205692295516
1.0,0.0,210,0.0018185157370188964,0.0015121147996490349,-9.36648883078886,0.567497331085696,5.071428571428571,0.5870190507305988
1.0,0.0,211,0.02310206554914316,0.0016483378575979908,-0.6055503025879503,0.5534201415681956,5.928571428571429,0.5748088014535999
1.0,0.0,212,0.0015934734198959253,0.0005350398925171338,-6.683813199956056,0.5816142338043362,5.428571428571429,0.6050024059511583
1.0,0.0,213,0.005597257314445824,0.00475634915638073,-0.8288675760340993,0.5520837631443501,5.607142857142857,0.5725113857774242
1.0,0.0,214,0.003960170173224459,0.0015334195972706488,4.208286067460257,0.5936375083495438,6.035714285714286,0.6222130022188241
1.0,0.0,215,0.0010371775872774268,0.00027910994978782146,1.8812316053953282,0.5555708261560206,5.857142857142857,0.5699248405491256
1.0,0.0,216,0.0028624720105610278,0.0026996251056712606,3.3484310135735598,0.583018071873126,6.035714285714286,0.6124313405953618
1.0,0.0,217,0.0021813559024506414,0.0008621334390864018,0.9631780568611816,0.5598565442012203,5.678571428571429,0.5664112601783196
