leak,strength,rep,phase_fst,spatial_fst,be_phase,parkin_fst,be_parkin,hs,rich,ht
0.03,0.0,47,0.011559391183373305,0.0016432097151907368,0.7574446041605185,0.0016432097151907368,1.1924571854073278,0.5996978544962571,5.928571428571429,0.6273807214741397
0.03,0.0,48,0.019697471291761994,0.016028448281994453,9.765176809446082,0.016028448281994453,14.794898112170536,0.6414101798778918,5.892857142857143,0.6669760304258636
0.03,0.0,49,0.0038855063089156777,0.0010553027852072989,2.715077812325788,0.0010553027852072989,6.235504900359707,0.5828492989997857,6.107142857142857,0.589461760418965
0.03,0.0,50,0.017944068467790095,0.010422046892819331,9.438086648199793,0.010422046892819331,6.351318168256022,0.5749634761176388,6.785714285714286,0.5979952111918373
0.03,0.0,51,0.0035246817466858594,0.0027819496874434816,4.419537132614629,0.0027819496874434816,3.610396333124548,0.5612594287334856,5.607142857142857,0.5708847768140892
0.03,0.0,52,0.03637009113255343,0.031128757436492915,12.010055531013727,0.031128757436492915,10.70925242437864,0.5484188906768943,5.25,0.5633416085875772
0.03,0.0,53,0.011101617585438995,0.002310348648146381,-0.41234036826255505,0.002310348648146381,1.6510505166920595,0.6029162967725871,5.642857142857143,0.624526692433714
0.03,0.0,54,0.021480255653763176,0.02193938458401998,8.33568881207728,0.02193938458401998,13.11150537274954,0.5413617111546636,5.5,0.5430878445736894
0.03,0.0,55,0.004205410131379212,0.0019507775242365642,3.790354619528067,0.0019507775242365642,5.102341066242246,0.5132539410418709,5.892857142857143,0.5547397604950168
0.03,0.0,56,0.0013827784411015044,0.0019874309859115487,-5.375570828630053,0.0019874309859115487,-6.090388802654111,0.5547831287800271,5.178571428571429,0.5693644351570049
0.03,0.0,57,0.012312162889016197,0.008933667805704863,7.645289644885452,0.008933667805704863,3.4176818061670957,0.5541667284402408,5.357142857142857,0.5782796536164597
0.03,0.0,58,0.016805924176269155,0.009326344649763568,9.134319833115939,0.009326344649763568,3.6288578243331386,0.5831840135688857,6.678571428571429,0.6200102564798402
0.03,0.0,59,0.010045841593679208,0.0034398890175877895,2.1517895638266324,0.0034398890175877895,2.192041012088197,0.565721617183017,5.5,0.5813662938944011
0.03,0.0,60,0.01579091695114464,0.002651075482346189,2.835262249565872,0.002651075482346189,-6.080870527439657,0.5977186746906763,5.642857142857143,0.6131762477573413
0.03,0.0,61,0.01843014337735517,0.008962820619364686,3.280167987534199,0.008962820619364686,-4.92991655204731,0.5636783673838329,5.142857142857143,0.5866907838298134
0.03,0.0,62,0.005354467880820506,0.00570063029598094,3.850738198308534,0.00570063029598094,7.985061668355968,0.5872227726895229,5.821428571428571,0.6107208040973977
0.03,0.0,63,0.0027707260972942367,0.0015118366605681767,-2.400681692621653,0.0015118366605681767,-3.9168819505824217,0.558227963375958,5.5,0.5776823136717073
