seed,nc,prec,rec,fst_bo,jk0,jk1,jk2,jk3,jk4,jk5,jk6,jk7
90,2.0,0.18604651162790697,1.0,0.00242896002151767,0.0024861473777698178,0.002444480734984525,0.0017005844965237386,0.004057311827944977,0.00307554695514435,0.0024336405620013764,0.0021191021060169494,0.0022450545885876424
91,2.0,0.16666666666666666,0.25,0.0046005196275149905,0.0038402891906283002,0.004560344016393308,0.0028714321661862377,0.005939196714730833,0.00507947908332833,0.004614580310792124,0.0030910087184916933,0.004769600245396428
92,2.0,0.21052631578947367,1.0,0.004469800070883053,0.004198955774831765,0.004491086776112417,0.003120342828755992,0.004181895160116801,0.004995992018815896,0.004544564471802929,0.0036879124586705523,0.0047634648664917935
93,2.0,0.17073170731707318,0.875,0.0026864840924833086,0.0025534636158359844,0.0028267553723666135,0.0019036376322323417,0.0019117839691630283,0.0034520132543863435,0.0027798845317709487,0.002551589992765053,0.0032665730320350196
94,2.0,0.15555555555555556,0.875,0.0033063864129995787,0.0030507935021498508,0.0034276721209711126,0.0026143015682962346,0.0026041156284701103,0.0037987175247389455,0.0033699583261590157,0.0035553984792412972,0.0033008049425493555
95,2.0,0.2,1.0,0.005184801608357627,0.005946661874752861,0.0051225041606771,0.004545112475555066,0.0025850407566591557,0.0046664735901512985,0.005200969950702999,0.005627910249730267,0.005557135525664265
96,2.0,0.19047619047619047,1.0,0.005031963234833695,0.004860976127294732,0.0051132701157453235,0.002711015148892854,0.003817754856276933,0.0054510615294678525,0.0050703212404791375,0.004582256981471568,0.005088460952693693
97,2.0,0.1951219512195122,1.0,0.005955752545433742,0.004795237586313292,0.0059614948598364055,0.005012644167083185,0.006547146838336508,0.00590577844526281,0.005962262602779996,0.004117006483490746,0.004662577121127284
98,2.0,0.18604651162790697,1.0,0.004731879438099216,0.0036695559643442023,0.004693506380996604,0.004150267662041627,0.002777360728630504,0.005674102859498078,0.004809472277099459,0.0049124640411862645,0.004957578090325034
99,2.0,0.175,0.875,0.003621120284759419,0.003138553610772598,0.003521772127745409,0.00336856102622329,0.002785122194539434,0.004059146765017053,0.0035842635877204564,0.0037838584354270574,0.003366026115306487
100,2.0,0.18181818181818182,1.0,0.005978505368113758,0.004917655980913865,0.0057863002062520175,0.003903032207064863,0.0034744547163500917,0.006429962774647155,0.006007558484786018,0.004829295424881994,0.006053023156048113
101,2.0,0.17777777777777778,1.0,0.004147574235930977,0.0041197251379275985,0.004167691437806706,0.0036091017329255215,0.002269502943871776,0.004449941792418628,0.004267396517978704,0.0037608969817672947,0.004366853263889148
102,2.0,0.19047619047619047,1.0,0.0026942751085041313,0.0028947467196731055,0.0027189867719953882,0.00235903471330385,0.0033815978612159177,0.0030678650315275075,0.0027668601674204507,0.0024627193353951122,0.0027273045595027465
103,2.0,0.18604651162790697,1.0,0.005514646682209588,0.004506558471343689,0.005584523142309526,0.0038782059076499114,0.004278888703944111,0.005417572553976655,0.005520508939225951,0.004938950267170558,0.005592157375785037
104,2.0,0.1951219512195122,1.0,0.004289791244739181,0.003632928773576292,0.004394724727829078,0.003546681240365815,0.004520208760550851,0.005159338170297888,0.004332155418453812,0.0033588975526212396,0.004137706127244178
