transform,w,algorithm,ari_all,ari_mapped,ari_mapped_lo,ari_mapped_hi,n_seeds
chisq,4.0,kmeans,0.17609157527865937,0.19569040873654436,0.1389629099537669,0.5162018348623852,40
chisq,4.0,ward,0.20702406270161772,0.2424760262738307,0.2424760262738307,0.2424760262738307,1
chisq,4.0,average,0.23048129842055415,0.22933584445798486,0.22933584445798486,0.22933584445798486,1
chisq,8.0,kmeans,0.16091108313221297,0.17866149518239446,0.12705907603155014,0.23225610246961068,40
chisq,8.0,ward,0.18308516100638159,0.21644953324863683,0.21644953324863683,0.21644953324863683,1
chisq,8.0,average,0.17497095796941156,0.16398980031128924,0.16398980031128924,0.16398980031128924,1
chisq,32.0,kmeans,0.1374705643140185,0.1444440155597892,0.11177960734642176,0.203775325550864,40
chisq,32.0,ward,0.1895042084847572,0.2120721801052969,0.2120721801052969,0.2120721801052969,1
chisq,32.0,average,0.13103964454159886,0.14339548842771932,0.14339548842771932,0.14339548842771932,1
chisq,inf,kmeans,0.1374705643140185,0.13834793964731298,0.0865436220243239,0.17521005987630495,40
chisq,inf,ward,0.25439734667397534,0.2588623853211009,0.2588623853211009,0.2588623853211009,1
chisq,inf,average,0.13103964454159886,0.14339548842771932,0.14339548842771932,0.14339548842771932,1
