"Id_","Name1_","Name2_"
CLIPO198592,16-P-4,
CLIPO198646,17-P-2,
CLIPO198680,18-P-1,
CLIPO198722,19-P-1,
CLIPO198485,13-P-9,
CLIPO198542,15-P-4,Corn Lake
CLIPO198593,16-P-7,
CLIPO198594,16-P-8,
CLIPO198759,20-P-1,
CLIPO198595,16-P-3,
CLIPO198486,13-P-3,
CLIPO198489,13-P-6,
CLIPO198442,12-O-1,Turner
CLIPO198443,12-P-1,Mound Place
CLIPO198412,11-P-3,
CLIPO198405,11-O-10,Barton Ranch
CLIPO198407,11-O-13,Tyronza Sta.
CLIPO198413,11-P-4,
CLIPO198336,10-O-2,Potter
CLIPO198337,10-O-3,Lepanto
CLIPO198344,10-P-6,Gant
CLIPO198342,10-O-8,
CLIPO198329,9-P-3,Jackson Mounds
CLIPO198348,10-P-4,Notgrass
CLIPO198349,10-P-2,
CLIPO198350,10-P-3,
CLIPO198351,10-P-11,
CLIPO198410,11-P-2,Bradley
CLIPO198411,11-P-5,Lambethville
CLIPO198645,17-P-1,
CLIPO198674,18-P-8,
CLIPO198487,13-P-10,
CLIPO198543,15-P-3,Indian Cr.
CLIPO198677,18-P-3,
CLIPO198678,18-P-7,
CLIPO198488,13-P-4,
CLIPO198358,10-P-11,Joiner
CLIPO198414,11-P-1,Shawnee Village
CLIPO198415,11-P-11,Pecan Point
CLIPO198416,11-P-11,Friends
CLIPO198444,12-P-2,Chuckalissa
CLIPO198679,18-P-6,
CLIPO198676,18-P-2,
CLIPO198724,19-P-3,
CLIPO198512,14-P-4,
CLIPO198301,8-O-8,Law
CLIPO198302,8-O-2,Wilkins
CLIPO198303,8-O-3,Gum Island
CLIPO198304,8-O-5,Seneca Slough
CLIPO198305,8-P-3,Langdon
CLIPO198306,8-P-7,Cypress Pt.
CLIPO198309,8-P-1,Old Varney River
CLIPO198311,8-P-2,Kennett
CLIPO198307,8-P-5,Treasure Island
CLIPO198347,10-P-14,Bell
CLIPO198544,15-P-1,Thomas
CLIPO198596,16-P-1,
CLIPO198359,10-P-14,
CLIPO198809,Control Point,Intersection of B
CLIPO198254,6-P-3,Henderson
CLIPO198257,6-Q-4,Wulfing Plates
CLIPO198283,7-P-1,Holcomb
CLIPO198284,7-P-2,Spence
CLIPO198285,7-P-7,Watson
CLIPO198308,8-P-8,
CLIPO198310,8-P-6,Johnson Island
CLIPO198345,10-P-1,Carson Lake
CLIPO198346,10-P-12,Shelby
CLIPO198417,11-P-6,PecanPoint
CLIPO198675,18-P-3,
CLIPO198320,8-Q-1,Carney
CLIPO198352,10-Q-1,Nodena
CLIPO198355,10-Q-3,Turnage
CLIPO198353,10-Q-2,Sherman Mound
CLIPO198287,7-Q-12,Hartzell
CLIPO198288,7-Q-1,Wardell
CLIPO198312,8-Q-6,McCay
CLIPO198330,9-Q-2,Chickasawba
CLIPO198354,10-Q-4,
CLIPO198356,10-Q-6,Harris
CLIPO198419,11-Q-10,Richardson Landin
CLIPO198418,11-Q-3,Merrel
CLIPO198315,8-Q-10,Hurley
CLIPO198316,8-Q-11,Hurley
CLIPO198291,7-Q-2,Pascola
CLIPO198314,8-Q-5,Holland
CLIPO198258,6-Q-3,Risco
CLIPO198255,6-Q-1,Rich Woods
CLIPO198256,6-Q-2,County Line
CLIPO198259,6-Q-5,Broadwater
CLIPO198260,6-Q-13,Crumpecker
CLIPO198236,5-R-8,Morehouse
CLIPO198237,5-R-21,Beeson
CLIPO198261,6-Q-15,Unnamed
CLIPO198286,7-Q-11,Tallapoosa
CLIPO198290,7-Q-3,Wilbur
CLIPO198289,7-Q-4,Ingram River
CLIPO198313,8-Q-7,Campbell
CLIPO198317,8-Q-4,Persimmon
CLIPO198318,8-Q-3,Canady
CLIPO198319,8-Q-12,Blazer
CLIPO198321,8-R-1,Caruthersville
CLIPO198292,7-R-6,Brinkerhoff
CLIPO198267,6-R-5,Unnamed
CLIPO198293,7-R-3,Estes
CLIPO198322,8-R-2,Kinfolk Ridge
CLIPO198357,10-R-1,Bishop
CLIPO198294,7-R-4,Stewart
CLIPO198295,7-R-7,Portage
CLIPO198232,4-Q-1,Peter Bess
CLIPO198234,4-P-1,Sturdivant
CLIPO198233,4-Q-3,Lakeville
CLIPO198229,4-R-16,Sand Ridge
CLIPO198238,5-R-3,Matthews
CLIPO198263,6-R-1,Lilbourn
CLIPO198296,7-R-8,Reaves
CLIPO198297,7-R-5,Double Bridge
CLIPO198323,8-R-3,
CLIPO198331,9-R-1,Hale's Point
CLIPO198264,6-R-4,Unnamed
CLIPO198265,6-R-6,Unnamed
CLIPO198239,5-R-1,Sikeston
CLIPO198240,5-R-2,East Lake
CLIPO198262,6-R-10,Neumann
CLIPO198298,7-R-10,Hunter
CLIPO198266,6-R-3,Black Bayou
CLIPO198245,5-S-10,John Short
CLIPO198246,5-S-2,Hoecake
CLIPO198268,6-S-6,Mound Field
CLIPO198299,7-R-11,
CLIPO198269,6-S-4,East Bayou
CLIPO198272,6-S-2,Spanish Grant
CLIPO198274,6-S-13,Black Bayou
CLIPO198270,6-S-5,La Plant
CLIPO198271,6-S-1,Barker
CLIPO198273,6-S-3,Barker
CLIPO198275,6-T-2,Sassafras R.
CLIPO198276,S-T-1,Beckwith's Fort
CLIPO198278,6-T-6,
CLIPO198277,6-T-5,
CLIPO198279,6-T-9,Beckwith's Ranch
CLIPO198280,6-T-3,O'Byam's Ft.
CLIPO198251,5-T-1,Crosno
CLIPO198241,5-S-4,Sandy Woods
CLIPO198242,5-S-5,Lusk
CLIPO198243,5-S-1,Charleston
CLIPO198244,5-S-6,Myers
CLIPO198248,5-T-7,Weems
CLIPO198249,5-T-4,O'Bryam Ridge
CLIPO198250,5-T-5,
CLIPO198247,5-T-6,Wickliffe
CLIPO198230,4-S-1,Brushy L.
CLIPO198812,Control Point,
CLIPO198813,Control Point,
CLIPO198814,Control Point,
CLIPO198815,Control Point,
CLIPO198816,Control Point,
CLIPO198817,Control Point,
CLIPO198818,Control Point,
CLIPO198819,22-K-10,
CLIPO198820,22-K-21,
CLIPO198821,22-K-2,
CLIPO198822,22-K-1,
CLIPO198823,22-K-3,
CLIPO198824,22-K-6,
CLIPO198825,22-K-5,
CLIPO198826,22-K-17,
CLIPO198827,22-K-8,
CLIPO198828,22-K-14,
CLIPO198829,22-K-20,
CLIPO198830,22-K-4,
CLIPO198831,22-K-1,
CLIPO198832,22-K-9,
CLIPO198833,22-L-2,
CLIPO198834,22-L-3,
CLIPO198835,22-L-1,
CLIPO198836,22-L-6,
CLIPO198837,22-M-4,
CLIPO198838,22-M-6,
CLIPO198839,22-M-7,
CLIPO198840,22-M-1,
CLIPO198841,22-M-2,
CLIPO198842,22-M-3,
CLIPO198843,22-M-9,
CLIPO198844,22-M-8,
CLIPO198845,22-M-5,
CLIPO198846,22-M-10,
CLIPO198847,22-N-10,
CLIPO198848,22-N-9,
CLIPO198849,22-N-15,
CLIPO198850,22-N-13,
CLIPO198851,22-N-8,
CLIPO198852,22-N-5,
CLIPO198853,22-N-4,
CLIPO198854,22-N-26,
CLIPO198855,22-N-28,
CLIPO198856,22-N-34,
CLIPO198857,22-N-16,
CLIPO198858,22-N-14,
CLIPO198859,22-N-27,
CLIPO198860,22-N-12,
CLIPO198861,22-N-11,
CLIPO198862,22-N-20,
CLIPO198863,22-N-17,
CLIPO198864,22-N-18,
CLIPO198865,22-N-22,
CLIPO198866,22-N-19,
CLIPO198867,22-N-3,
CLIPO198868,22-N-6,
CLIPO198869,29-J-3,
CLIPO198870,29-J-1,
CLIPO198871,29-J-2,
CLIPO198872,28-J-3,
CLIPO198873,28-H-19,
CLIPO198874,28-H-5,
CLIPO198875,28-H-14,
CLIPO198876,28-H-11,
CLIPO198877,28-H-15,
CLIPO198878,28-H-25,
CLIPO198879,28-H-9,
CLIPO198880,28-H-1,
CLIPO198881,28-H-10,
CLIPO198882,28-H-2,
CLIPO198883,28-H-8,
CLIPO198884,28-H-12,
CLIPO198885,28-H-32,
CLIPO198886,28-H-13,
CLIPO198887,28-H-4,
CLIPO198888,28-G-5,
CLIPO198889,27-H-3,
CLIPO198890,27-H-2,
CLIPO198891,27-H-10,
CLIPO198892,27-H-11,
CLIPO198893,27-H-12,
CLIPO198894,27-H-4,
CLIPO198895,27-H-6,
CLIPO198896,27-I-2,
CLIPO198897,27-I-1,
CLIPO198898,26-H-2,
CLIPO198899,26-I-1,
CLIPO198900,26-H-1,
CLIPO198901,26-H-3,
CLIPO198902,26-H-6,
CLIPO198903,26-I-5,
CLIPO198904,26-I-4,
CLIPO198905,26-I-8,
CLIPO198906,26-I-1,
CLIPO198907,26-I-2,
CLIPO198908,26-I-3,
CLIPO198909,27-K-3,
CLIPO198910,27-K-1,
CLIPO198911,27-K-2,
CLIPO198912,26-K-2,
CLIPO198913,26-K-3,
CLIPO198914,26-K-1,
CLIPO198915,26-L-1,
CLIPO198916,26-L-2,
CLIPO198917,25-L-1,
CLIPO198918,26-J-9,
CLIPO198919,26-J-3,
CLIPO198920,26-J-10,
CLIPO198921,26-J-11,
CLIPO198922,26-J-17,
CLIPO198923,26-J-5,
CLIPO198924,26-J-8,
CLIPO198925,26-J-2,
CLIPO198926,26-J-6,
CLIPO198927,26-J-14,
CLIPO198928,26-J-16,
CLIPO198929,26-J-1,
CLIPO198930,26-J-7,
CLIPO198931,26-J-12,
CLIPO198932,26-J-4,
CLIPO198933,26-K-35,Section
CLIPO198934,24-M-1,
CLIPO198935,24-M-5,
CLIPO198936,24-M-7,
CLIPO198937,24-M-6,
CLIPO198938,24-M-2,
CLIPO198939,23-M-3,
CLIPO198940,23-M-1,
CLIPO198941,23-M-2,
CLIPO198942,23-M-4,
CLIPO198943,25-I-1,
CLIPO198944,25-I-8,
CLIPO198945,25-I-2,
CLIPO198946,25-I-3,
CLIPO198947,25-I-4,
CLIPO198948,25-I-5,
CLIPO198949,25-J-13,
CLIPO198950,25-J-6,
CLIPO198951,25-J-14,
CLIPO198952,25-J-7,
CLIPO198953,25-J-1,
CLIPO198954,25-J-2,
CLIPO198955,25-J-4,
CLIPO198956,25-J-3,
CLIPO198957,25-J-5,
CLIPO198958,25-J-10,
CLIPO198959,25-J-16,
CLIPO198960,25-J-15,
CLIPO198961,25-K-15,
CLIPO198962,25-K-14,
CLIPO198963,25-K-17,
CLIPO198964,25-K-19,
CLIPO198965,25-K-2,
CLIPO198966,25-K-3,
CLIPO198967,25-K-5,
CLIPO198968,25-K-11,
CLIPO198969,25-K-19,
CLIPO198970,25-K-8,
CLIPO198971,25-K-11,
CLIPO198972,23-J-1,
CLIPO198973,25-J-9,
CLIPO198974,24-J-6,
CLIPO198975,24-J-1,
CLIPO198976,24-J-2,
CLIPO198977,24-J-30,
CLIPO198978,24-J-29,
CLIPO198979,24-J-32,
CLIPO198980,24-J-25,
CLIPO198981,24-J-3,
CLIPO198982,24-J-9,
CLIPO198983,24-J-27,
CLIPO198984,24-J-8,
CLIPO198985,24-J-27,
CLIPO198986,24-J-26,
CLIPO198987,24-K-7,
CLIPO198988,24-K-4,
CLIPO198989,24-K-9,
CLIPO198990,24-K-6,
CLIPO198991,24-K-3,
CLIPO198992,24-K-8,
CLIPO198993,24-L-7,
CLIPO198994,24-L-9,
CLIPO198995,24-L-14,
CLIPO198996,24-L-12,
CLIPO198997,24-L-13,
CLIPO198998,24-L-1,
CLIPO198999,24-L-5,
CLIPO199000,24-L-2,
CLIPO199001,24-L-15,
CLIPO199002,24-L-6,
CLIPO199003,23-K-5,
CLIPO199004,23-K-3,
CLIPO199005,23-K-7,
CLIPO199006,23-K-2,
CLIPO199007,23-K-21,
CLIPO199008,23-K-16,
CLIPO199009,23-K-20,
CLIPO199010,23-K-8,
CLIPO199011,23-K-4,
CLIPO199012,23-K-1,
CLIPO199013,23-K-12,
CLIPO199014,23-K-25,
CLIPO199015,23-L-16,
CLIPO199016,23-L-10,
CLIPO199017,23-L-12,
CLIPO199018,23-L-4,
CLIPO199019,23-L-3,
CLIPO199020,23-L-2,
CLIPO199021,23-L-9,
CLIPO199022,23-L-1,
CLIPO199023,23-L-8,
CLIPO199024,23-L-11,
CLIPO199025,23-L-17,
