region,model,n_ind,innovation,mixing,loss,matched,fst_median,sim_hs,sim_rich,sim_ht,obs_hs,obs_rich,obs_ht,selected
basin,pooled,120,0.0005,0.05,0.7162720796427475,False,0.010451045641982903,0.2765922878483446,2.7356321839080455,0.2775417905346086,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0005,0.1,0.46134587507473096,False,0.02073164172212448,0.3382599714791769,2.8045977011494254,0.3810471835262188,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0005,0.2,0.5720928960809576,False,0.004899015600247357,0.3275091087941998,2.7528735632183907,0.3134152295030604,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0005,0.4,0.5726242970845761,False,0.009694262551791797,0.32815063812029016,2.810344827586207,0.30589427575545725,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.001,0.001,0.7659029768296024,False,0.0872603345109374,0.1798061324187928,2.425287356321839,0.5338062865097037,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.001,0.002,0.5381703809616423,False,0.12470217260907704,0.251315656346265,2.7758620689655173,0.5049152832331175,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.001,0.005,0.4180801865175065,False,0.05093806978353989,0.3031764010731375,2.954022988505747,0.4858633081116354,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.001,0.01,0.3171218434494561,False,0.03441778793308327,0.3837673486032189,2.913793103448276,0.514679776793763,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.001,0.02,0.26781644502215984,False,0.01864722155429517,0.4148544008728452,3.0517241379310343,0.5114147725427924,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.001,0.05,0.17652475003606347,False,0.014422708221539841,0.4596708445257192,3.494252873563218,0.5066162472784517,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.001,0.1,0.22878803033622092,False,0.011199980975505048,0.43873030226183446,3.2126436781609193,0.49774533738799476,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.001,0.2,0.20196361937021973,False,0.01223763729024175,0.4328401224265983,3.408045977011495,0.5048722155708577,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.001,0.4,0.20545944838857036,False,0.005641428576457738,0.4303267243610141,3.442528735632184,0.47568953239857464,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.002,0.001,0.5181322631600919,False,0.051908984780307255,0.2548875064430735,2.844827586206897,0.5328443775019437,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.002,0.002,0.46556997528034416,False,0.043723618171587174,0.27239249802208393,2.977011494252874,0.4907517387133347,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.002,0.005,0.32764821061103017,False,0.04548007454000128,0.3501586084392339,3.1494252873563213,0.463714951636827,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.002,0.01,0.20999914304092016,False,0.04747456646400347,0.42354903988318515,3.3850574712643677,0.5192275357148248,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.002,0.02,0.19727403166827737,False,0.016266664572960606,0.4342093271674361,3.454022988505747,0.49040763858242303,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.002,0.05,0.19391499652588634,False,0.015980111660746525,0.44486986943637835,3.5517241379310343,0.44930647640652016,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.002,0.1,0.14430908658733776,False,0.015042330202375845,0.4590445157475533,3.7931034482758617,0.4781791272144377,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.002,0.2,0.1208593579041828,False,0.009618858260076312,0.42918106490567415,4.109195402298851,0.4892694708941261,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.002,0.4,0.07510679869384683,False,0.017337992724927614,0.49340609213236636,4.2988505747126435,0.5360462456868983,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.004,0.001,0.34325020239508824,False,0.03813795822787064,0.31983266895949164,3.2298850574712645,0.5230787404120609,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.004,0.002,0.28033100967015684,False,0.02245728954835189,0.35051597807238144,3.379310344827586,0.5098792949188357,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.004,0.005,0.23008725065004834,False,0.03190237610438192,0.3686463563987304,3.586206896551724,0.5203774165624127,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.004,0.01,0.18353372050317057,False,0.014180331399438608,0.4125878844808573,3.64367816091954,0.503786071409315,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.004,0.02,0.11671210404879907,False,0.013190854331789893,0.464517646358686,3.954022988505747,0.5128677420742215,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.004,0.05,0.08817670570493051,False,0.0056196659690256195,0.48315201326689955,4.17816091954023,0.5103059941971265,0.5096609240503605,5.896551724137931,0.5224925592027359,False
